Timestamp,Vehicle1,Vehicle2,TTC,Distance,Severity
00:10.9,2,3,1.75,28.99,MEDIUM
00:11.0,2,3,1.71,27.40,MEDIUM
00:11.1,2,3,1.68,25.88,MEDIUM
00:11.2,2,3,1.65,24.41,MEDIUM
00:11.3,2,3,1.60,23.01,MEDIUM
00:11.4,2,3,1.54,21.62,MEDIUM
00:11.5,2,3,1.48,20.26,MEDIUM
00:11.6,2,3,1.41,18.93,MEDIUM
00:11.7,2,3,1.34,17.61,MEDIUM
00:11.8,2,3,1.27,16.33,MEDIUM
00:11.9,2,3,1.24,15.11,MEDIUM
00:12.0,2,3,1.19,13.90,MEDIUM
00:12.1,2,3,1.12,12.71,MEDIUM
00:12.2,2,3,1.05,11.56,MEDIUM
00:12.3,2,3,0.97,10.45,HIGH
00:12.4,2,3,0.85,9.24,HIGH
00:12.5,2,3,0.75,8.06,HIGH
00:12.6,2,3,0.65,6.93,HIGH
00:12.7,2,3,0.53,5.85,HIGH
00:12.8,2,3,0.38,4.78,HIGH
00:12.9,2,3,0.24,3.80,HIGH
00:13.0,2,3,0.11,3.23,HIGH
00:16.5,5,8,2.63,21.53,LOW
00:16.6,5,8,2.13,20.87,LOW
00:16.6,5,8,1.81,20.27,MEDIUM
00:16.8,5,8,1.57,19.73,MEDIUM
00:16.9,5,8,1.32,19.18,MEDIUM
00:17.0,5,8,1.08,18.57,MEDIUM
00:17.1,5,8,0.87,18.05,HIGH
00:17.1,5,8,0.71,17.61,HIGH
00:17.3,5,8,0.56,17.26,HIGH
00:17.4,5,8,0.43,16.99,HIGH
00:17.5,11,16,1.80,29.67,MEDIUM
00:17.5,5,8,0.30,16.77,HIGH
00:17.6,11,16,1.66,28.00,MEDIUM
00:17.6,5,8,0.15,16.61,HIGH
00:17.6,11,16,1.52,26.30,MEDIUM
00:17.8,11,16,1.39,24.56,MEDIUM
00:17.9,11,16,1.26,22.79,MEDIUM
00:18.0,11,16,1.15,21.00,MEDIUM
00:18.1,11,16,1.04,19.20,MEDIUM
00:18.1,11,16,0.92,17.38,HIGH
