Timestamp,Sender,Receiver,MessageType,Severity,Distance,Success
00:00.1,2,3,COLLISION_WARNING,MEDIUM,28.99,True
00:00.1,3,2,COLLISION_WARNING,MEDIUM,28.99,True
00:00.2,2,3,COLLISION_WARNING,MEDIUM,27.40,True
00:00.2,3,2,COLLISION_WARNING,MEDIUM,27.40,True
00:00.3,2,3,COLLISION_WARNING,MEDIUM,25.88,True
00:00.3,3,2,COLLISION_WARNING,MEDIUM,25.88,True
00:00.4,2,3,COLLISION_WARNING,MEDIUM,24.41,True
00:00.4,3,2,COLLISION_WARNING,MEDIUM,24.41,False
00:00.5,2,3,COLLISION_WARNING,MEDIUM,23.01,True
00:00.5,3,2,COLLISION_WARNING,MEDIUM,23.01,True
00:00.6,2,3,COLLISION_WARNING,MEDIUM,21.62,True
00:00.6,3,2,COLLISION_WARNING,MEDIUM,21.62,True
00:00.7,2,3,COLLISION_WARNING,MEDIUM,20.26,True
00:00.7,3,2,COLLISION_WARNING,MEDIUM,20.26,True
00:00.8,2,3,COLLISION_WARNING,MEDIUM,18.93,True
00:00.8,3,2,COLLISION_WARNING,MEDIUM,18.93,True
00:00.9,2,3,COLLISION_WARNING,MEDIUM,17.61,True
00:00.9,3,2,COLLISION_WARNING,MEDIUM,17.61,True
00:01.0,2,3,COLLISION_WARNING,MEDIUM,16.33,True
00:01.0,3,2,COLLISION_WARNING,MEDIUM,16.33,False
00:01.1,2,3,COLLISION_WARNING,MEDIUM,15.11,True
00:01.1,3,2,COLLISION_WARNING,MEDIUM,15.11,True
00:01.2,2,3,COLLISION_WARNING,MEDIUM,13.90,True
00:01.2,3,2,COLLISION_WARNING,MEDIUM,13.90,True
00:01.3,2,3,COLLISION_WARNING,MEDIUM,12.71,True
00:01.3,3,2,COLLISION_WARNING,MEDIUM,12.71,True
00:01.3,2,12,NEARBY_COLLISION,MEDIUM,89.58,True
00:01.3,3,12,NEARBY_COLLISION,MEDIUM,99.68,True
00:01.4,2,3,COLLISION_WARNING,MEDIUM,11.56,True
00:01.4,3,2,COLLISION_WARNING,MEDIUM,11.56,True
00:01.4,2,12,NEARBY_COLLISION,MEDIUM,89.61,True
00:01.4,3,12,NEARBY_COLLISION,MEDIUM,98.79,True
00:01.5,2,3,COLLISION_WARNING,HIGH,10.45,True
00:01.5,3,2,COLLISION_WARNING,HIGH,10.45,True
00:01.5,2,12,NEARBY_COLLISION,HIGH,89.63,True
00:01.5,3,12,NEARBY_COLLISION,HIGH,97.92,True
00:01.6,2,3,COLLISION_WARNING,HIGH,9.24,True
00:01.6,3,2,COLLISION_WARNING,HIGH,9.24,True
00:01.6,2,12,NEARBY_COLLISION,HIGH,89.87,True
00:01.6,3,12,NEARBY_COLLISION,HIGH,97.07,True
00:01.7,2,3,COLLISION_WARNING,HIGH,8.06,True
00:01.7,3,2,COLLISION_WARNING,HIGH,8.06,True
00:01.7,2,12,NEARBY_COLLISION,HIGH,90.09,True
00:01.7,3,12,NEARBY_COLLISION,HIGH,96.25,True
00:01.8,2,3,COLLISION_WARNING,HIGH,6.93,True
00:01.8,3,2,COLLISION_WARNING,HIGH,6.93,False
00:01.8,2,12,NEARBY_COLLISION,HIGH,90.28,True
00:01.8,3,12,NEARBY_COLLISION,HIGH,95.44,True
00:01.9,2,3,COLLISION_WARNING,HIGH,5.85,True
00:01.9,3,2,COLLISION_WARNING,HIGH,5.85,True
00:01.9,2,12,NEARBY_COLLISION,HIGH,90.66,True
00:01.9,3,12,NEARBY_COLLISION,HIGH,94.66,True
00:02.0,2,3,COLLISION_WARNING,HIGH,4.78,True
00:02.0,3,2,COLLISION_WARNING,HIGH,4.78,True
00:02.0,2,12,NEARBY_COLLISION,HIGH,91.04,True
00:02.0,3,12,NEARBY_COLLISION,HIGH,93.83,False
00:02.1,2,3,COLLISION_WARNING,HIGH,3.80,True
00:02.1,3,2,COLLISION_WARNING,HIGH,3.80,True
00:02.1,2,12,NEARBY_COLLISION,HIGH,91.42,True
00:02.1,3,12,NEARBY_COLLISION,HIGH,92.97,True
00:02.2,2,3,COLLISION_WARNING,HIGH,3.23,True
00:02.2,3,2,COLLISION_WARNING,HIGH,3.23,True
00:02.2,2,12,NEARBY_COLLISION,HIGH,91.83,True
00:02.2,3,12,NEARBY_COLLISION,HIGH,92.06,True
00:02.3,5,8,COLLISION_WARNING,LOW,21.53,True
00:02.3,8,5,COLLISION_WARNING,LOW,21.53,True
00:02.3,5,1,NEARBY_COLLISION,LOW,41.24,True
00:02.3,8,1,NEARBY_COLLISION,LOW,19.80,True
00:02.4,5,8,COLLISION_WARNING,LOW,20.87,True
00:02.4,8,5,COLLISION_WARNING,LOW,20.87,True
00:02.4,5,1,NEARBY_COLLISION,LOW,40.50,True
00:02.4,8,1,NEARBY_COLLISION,LOW,19.77,True
00:02.5,5,8,COLLISION_WARNING,MEDIUM,20.27,True
00:02.5,8,5,COLLISION_WARNING,MEDIUM,20.27,True
